name,team,year,position,measurements,weight,mock_draft,big_board,age_at_draft,birthdate,nation,hometown,high_school,espn_100,strengths,weaknesses,max_vert,lane_agil,shuttle,3_4sprint,reach,wingspan,games,minutes_per_game,fgm_fga,fg_pct,3pm_3pa,3p_pct,ftm_fta,ft_pct,rebounds_pg,assists_pg,blocks_pg,steals_pg,turnovers_pg,personal_fouls_pg,points_pg,games_per36,minutes_per36,fgm_fga_per36,fg_pct_per36,3pm_3pa_per36,3p_pct_per36,ftm_fta_per36,ft_pct_per36,rebounds_per36,assists_per36,blocks_per36,steals_per36,turnovers_per36,personal_fouls_per36,points_per36,ts_per,efg_per,3pa_rate,fta_rate,nba_3p_per,usg_per,ast_per_usg,ast_per_to,per,ows_per_40,dws_per_40,ws_per_40,ortg,drtg,obpm,dbpm,bpm
Jase Richardson,Michigan State,Freshman,SG/PG,"6'1.75""(6'6"" wingspan)",178 lbs,13th|ATL,11th,18.68 yrs,"Oct 16, 2006",USA,"Denver, CO",Christopher Columbus High SchoolChristopher Columbus HS,#25 |2024,"Draft Age (4 pluses), Off. Rating (3 pluses), AST/TO (3 pluses), Def. BPM (3 pluses), Turnovers (3 pluses), TS% (2 pluses), BPM (2 pluses), FG% (2 pluses), EFG% (1 pluses), Win Shares (1 pluses), 2P% (1 pluses), FT% (1 pluses), 3P% (1 pluses), FTA Rate (1 pluses), Off. Win Shares (1 pluses), Off. BPM (1 pluses), Def. Win Shares (1 pluses)",Rebounds (1 minuses),"38.0""",10.97,3.08,3.22,"8'2.5""","6'6""",36,25.3,4.0-8.1,0.493,1.3-3.2,0.412,2.8-3.4,0.836,3.3,1.9,0.3,0.8,0.8,1.5,12.1,36,36.0,5.7-11.5,0.493,1.9-4.5,0.412,4.0-4.8,0.836,4.7,2.7,0.4,1.2,1.2,2.2,17.3,0.624,0.574,0.39,0.418,0.37,20.6,0.7,2.27,20.7,0.136,0.075,0.211,132.0,100.3,6.5,5.1,11.6
Carter Bryant,Arizona,Freshman,SF/PF,"6'7.75""(6'11.75"" wingspan)",215 lbs,10th|HOU,12th,19.56 yrs,"Nov 26, 2005",USA,"Riverside, CA",Centennial High SchoolCentennial HS,#20 |2024,"Blocks (3 pluses), Def. BPM (3 pluses), 2P% (2 pluses), Steals (2 pluses), Draft Age (2 pluses), EFG% (1 pluses), Turnovers (1 pluses)","Fouls (4 minuses), Points (2 minuses), PER (2 minuses), Off. Win Shares (1 minuses), Win Shares (1 minuses), FT% (1 minuses), Off. BPM (1 minuses)","39.5""",11.25,3.14,3.07,"8'10""","6'11.75""",37,19.3,2.2-4.8,0.46,1.1-2.8,0.371,1.1-1.6,0.695,4.1,1.0,1.0,0.9,1.0,2.3,6.5,37,36.0,4.1-8.9,0.46,2.0-5.3,0.371,2.1-3.0,0.695,7.7,1.8,1.9,1.8,1.9,4.3,12.2,0.593,0.571,0.597,0.335,0.352,16.4,0.51,0.97,16.6,0.067,0.078,0.14,116.5,100.1,3.5,5.3,8.8
Collin Murray-Boyles,South Carolina,Sophomore,PF,"6'7.75""(7'0.75"" wingspan)",239 lbs,11th|POR,13th,20.03 yrs,"Jun 10, 2005",USA,"Columbia, SC",Wasatch AcademyWasatch Academy,#64 |2023,"AST%/Usage (3 pluses), Steals (2 pluses), Def. BPM (2 pluses), BPM (2 pluses), Assists (2 pluses), 2P% (2 pluses), FG% (2 pluses), TS% (1 pluses), EFG% (1 pluses), FTA Rate (1 pluses), Off. BPM (1 pluses), Wingspan Ratio (1 pluses), Points (1 pluses), AST/TO (1 pluses), PER (1 pluses)","Def. Rating (2 minuses), Turnovers (1 minuses), Proj NBA 3P% (1 minuses)","34.5""",11.21,2.86,3.15,"8'10""","7'0.75""",32,30.6,6.2-10.6,0.586,0.3-1.1,0.265,4.2-5.9,0.707,8.3,2.4,1.3,1.5,2.4,2.6,16.8,32,36.0,7.3-12.4,0.586,0.3-1.2,0.265,4.9-6.9,0.707,9.7,2.8,1.6,1.7,2.9,3.0,19.8,0.63,0.599,0.101,0.556,0.321,26.7,0.79,0.99,27.8,0.127,0.073,0.2,119.6,100.4,6.9,5.0,11.9
Noa Essengue,Ratiopharm Ulm (Germany),International,SF/PF,"6'9""",194 lbs,14th|SA,14th,18.50 yrs,"Dec 18, 2006",France,"Orleans, France",,,"FTA Rate (4 pluses), 2P% (4 pluses), Draft Age (4 pluses), FG% (3 pluses), Steals (3 pluses), TS% (3 pluses), EFG% (2 pluses), Turnovers (2 pluses), Points (1 pluses), Def. Rebounds (1 pluses)","Fouls (4 minuses), 3P% (1 minuses), Proj NBA 3P% (1 minuses), Assists (1 minuses)",,,,,,,18,23.7,3.9-6.9,0.56,0.6-1.9,0.294,4.1-5.6,0.73,5.3,1.1,0.6,1.4,1.0,2.6,12.4,18,36.0,5.9-10.5,0.56,0.8-2.9,0.294,6.2-8.4,0.73,8.0,1.7,0.8,2.1,1.5,4.0,18.8,0.646,0.6,0.272,0.8,0.335,,,1.11,,,,,,,,,
Cedric Coward,Washington State,Senior,SG,"6'6.5""(7'2.25"" wingspan)",213 lbs,15th|OKC,15th,21.77 yrs,"Sep 11, 2003",USA,"Fresno, CA",Central High SchoolCentral HS,,"2P% (4 pluses), Blocks (4 pluses), TS% (4 pluses), FG% (4 pluses), EFG% (4 pluses), Off. Rating (4 pluses), Wingspan Ratio (3 pluses), FTA Rate (3 pluses), Rebounds (2 pluses), Off. Win Shares (2 pluses), Off. Rebounds (2 pluses), PER (2 pluses), AST%/Usage (2 pluses), Def. Rebounds (2 pluses), Assists (2 pluses), AST/TO (1 pluses), FT% (1 pluses), Off. BPM (1 pluses), Win Shares (1 pluses), BPM (1 pluses), Points (1 pluses), Proj NBA 3P% (1 pluses), 3P% (1 pluses)","Def. Rating (3 minuses), Def. Win Shares (2 minuses), Fouls (2 minuses), Draft Age (2 minuses), Steals (1 minuses)","38.5""",10.97,3.02,3.06,"8'10""","7'2.25""",6,33.0,5.7-10.2,0.557,2.0-5.0,0.4,4.3-5.2,0.839,7.0,3.7,1.7,0.8,2.2,2.7,17.7,6,36.0,6.2-11.1,0.557,2.2-5.5,0.4,4.7-5.6,0.839,7.6,4.0,1.8,0.9,2.4,2.9,19.3,0.7,0.656,0.492,0.508,0.375,22.1,0.94,1.69,26.0,0.162,0.04,0.202,135.2,108.9,7.0,2.2,9.3
Asa Newell,Georgia,Freshman,PF,"6'10.25""(6'11.25"" wingspan)",224 lbs,17th|MIN,16th,19.71 yrs,"Oct 5, 2005",USA,"Destin, FL",Montverde AcademyMontverde Academy,#12 |2024,"Off. Rating (3 pluses), Turnovers (3 pluses), Off. Rebounds (2 pluses), 2P% (2 pluses), Off. BPM (1 pluses), Off. Win Shares (1 pluses), Draft Age (1 pluses)","Def. Rating (3 minuses), Def. Rebounds (3 minuses), Wingspan Ratio (2 minuses), Def. Win Shares (2 minuses), Assists (1 minuses), AST%/Usage (1 minuses), Rebounds (1 minuses), Def. BPM (1 minuses)","36.5""",10.95,2.78,3.26,"8'11.5""","6'11.25""",33,29.0,5.8-10.7,0.543,0.8-2.7,0.292,3.1-4.1,0.748,6.9,0.9,1.0,1.0,1.1,2.4,15.4,33,36.0,7.2-13.2,0.543,1.0-3.3,0.292,3.8-5.1,0.748,8.5,1.1,1.2,1.2,1.4,3.0,19.1,0.612,0.58,0.253,0.384,0.339,23.5,0.29,0.78,26.1,0.159,0.058,0.217,131.5,104.2,7.6,2.0,9.6
Thomas Sorber,Georgetown,Freshman,PF/C,"6'10.5""(7'6"" wingspan)",263 lbs,19th|BKN,17th,19.48 yrs,"Dec 25, 2005",USA,"Trenton, NJ",Archbishop RyanArchbishop Ryan,#56 |2024,"Wingspan Ratio (3 pluses), Steals (2 pluses), AST%/Usage (2 pluses), Assists (2 pluses), Draft Age (2 pluses), Def. BPM (1 pluses), Blocks (1 pluses), AST/TO (1 pluses), 2P% (1 pluses), Fouls (1 pluses)","3P% (2 minuses), Off. Win Shares (1 minuses), Proj NBA 3P% (1 minuses)",,,,,"9'1""","7'6""",24,31.3,5.5-10.4,0.532,0.3-1.5,0.162,3.2-4.4,0.724,8.5,2.4,2.0,1.5,2.3,2.2,14.5,24,36.0,6.4-12.0,0.532,0.3-1.8,0.162,3.6-5.0,0.724,9.7,2.8,2.3,1.7,2.6,2.5,16.7,0.58,0.544,0.148,0.42,0.318,23.6,0.66,1.07,24.7,0.09,0.09,0.181,114.7,96.7,4.1,4.4,8.5
Egor Demin,BYU,Freshman,PG/SG,"6'9.5""(6'10.25"" wingspan)",199 lbs,18th|WAS,18th,19.30 yrs,"Mar 3, 2006",Russia,"Moscow, Russia",Moscow Basketball AcademyMoscow Basketball Academy,,"Draft Age (3 pluses), 2P% (2 pluses), Assists (2 pluses), Fouls (2 pluses), Def. Rebounds (1 pluses), AST%/Usage (1 pluses), Blocks (1 pluses)","3P% (3 minuses), Win Shares (3 minuses), Off. Win Shares (3 minuses), PER (3 minuses), Off. Rating (2 minuses), TS% (2 minuses), Turnovers (2 minuses), Wingspan Ratio (2 minuses), FT% (2 minuses), Off. BPM (2 minuses), Off. Rebounds (2 minuses), Points (2 minuses), FG% (2 minuses), BPM (2 minuses), Def. Rating (1 minuses), Proj NBA 3P% (1 minuses), EFG% (1 minuses), FTA Rate (1 minuses)","32.0""",11.31,2.93,3.33,"8'9.5""","6'10.25""",33,27.5,3.8-9.3,0.412,1.3-4.7,0.273,1.7-2.5,0.695,3.9,5.5,0.4,1.2,2.9,1.2,10.6,33,36.0,5.0-12.1,0.412,1.7-6.1,0.273,2.3-3.3,0.695,5.1,7.1,0.5,1.5,3.8,1.6,13.9,0.509,0.48,0.503,0.268,0.344,24.5,1.41,1.86,15.6,0.048,0.057,0.101,103.9,105.6,3.1,2.2,5.3
Rasheer Fleming,Saint Joseph's,Junior,PF,"6'9.5""(7'5.25"" wingspan)",232 lbs,20th|MIA,19th,20.95 yrs,"Jul 10, 2004",USA,"Camden, NJ",Camden High SchoolCamden HS,,"Wingspan Ratio (3 pluses), 2P% (2 pluses), Proj NBA 3P% (2 pluses), EFG% (2 pluses), Steals (2 pluses), TS% (2 pluses), Turnovers (1 pluses), Off. Rating (1 pluses), 3P% (1 pluses), Def. Win Shares (1 pluses)","FTA Rate (2 minuses), Off. Rebounds (1 minuses)","32.5""",10.95,2.72,3.24,"9'1""","7'5.25""",35,31.3,5.4-10.1,0.531,1.8-4.5,0.39,2.1-2.9,0.743,8.5,1.3,1.5,1.4,1.5,2.5,14.7,35,36.0,6.2-11.6,0.531,2.0-5.2,0.39,2.5-3.3,0.743,9.8,1.4,1.8,1.6,1.8,2.9,16.9,0.638,0.619,0.449,0.285,0.36,21.2,0.4,0.81,24.1,0.11,0.095,0.205,123.9,95.0,4.5,3.1,7.7
Nique Clifford,Colorado State,Senior,SG/SF,"6'6.5""(6'8"" wingspan)",202 lbs,16th|MEM,20th,23.36 yrs,"Feb 9, 2002",USA,"Colorado Springs, CO",The Vanguard SchoolThe Vanguard School,,"Def. Rebounds (4 pluses), Rebounds (4 pluses), Assists (2 pluses), Def. Win Shares (2 pluses), AST%/Usage (2 pluses), 2P% (2 pluses), FG% (2 pluses), Win Shares (2 pluses), BPM (2 pluses), PER (1 pluses), AST/TO (1 pluses), Def. BPM (1 pluses), Off. BPM (1 pluses), TS% (1 pluses), EFG% (1 pluses), Off. Rebounds (1 pluses), Def. Rating (1 pluses), Points (1 pluses), Off. Rating (1 pluses), Off. Win Shares (1 pluses)","Draft Age (4 minuses), Wingspan Ratio (1 minuses), Turnovers (1 minuses)","35.5""",10.87,2.96,3.07,"8'6.5""","6'8""",36,35.4,6.6-13.3,0.496,1.8-4.9,0.377,3.9-5.0,0.777,9.6,4.4,0.6,1.2,2.6,2.4,18.9,36,36.0,6.7-13.6,0.496,1.9-4.9,0.377,3.9-5.1,0.777,9.8,4.5,0.6,1.2,2.6,2.5,19.2,0.603,0.565,0.365,0.373,0.361,27.7,0.97,1.72,25.1,0.129,0.091,0.22,119.2,96.1,7.2,3.8,11.1
Joan Beringer,KK Cedevita Junior (Croatia),International,C,"6'10""",230 lbs,24th|OKC,21st,18.61 yrs,"Nov 11, 2006",France,"Strasbourg, France",,,"Draft Age (4 pluses), Turnovers (3 pluses), FG% (2 pluses), EFG% (1 pluses), Off. Rating (1 pluses), 2P% (1 pluses), TS% (1 pluses)","PER (4 minuses), Points (3 minuses), Def. Rating (3 minuses), Fouls (2 minuses), Proj NBA 3P% (1 minuses), FT% (1 minuses), Assists (1 minuses), Rebounds (1 minuses), Def. Rebounds (1 minuses)",,,,,,,64,18.8,2.2-3.4,0.644,0.0-0.0,0.0,1.0-1.8,0.566,4.9,0.5,1.4,0.5,0.7,2.3,5.4,64,36.0,4.2-6.6,0.644,0.0-0.0,0.0,1.9-3.4,0.566,9.4,0.9,2.7,1.0,1.3,4.5,10.4,0.634,0.644,0.005,0.516,0.299,12.3,0.34,0.7,16.2,,,,125.6,103.4,,,
Liam McNeeley,UConn,Freshman,SF,"6'8""(6'8.5"" wingspan)",215 lbs,23rd|NO,22nd,19.69 yrs,"Oct 10, 2005",USA,"Richardson, TX",Montverde AcademyMontverde Academy,#9 |2024,"FT% (3 pluses), Proj NBA 3P% (1 pluses), Draft Age (1 pluses)","FG% (3 minuses), Def. Rating (3 minuses), EFG% (3 minuses), Steals (3 minuses), 2P% (3 minuses), BPM (3 minuses), Wingspan Ratio (2 minuses), PER (2 minuses), Blocks (2 minuses), Def. BPM (2 minuses), Off. Rebounds (2 minuses), Off. BPM (2 minuses), Def. Win Shares (1 minuses), Win Shares (1 minuses), TS% (1 minuses), 3P% (1 minuses), Off. Win Shares (1 minuses)","36.5""",11.11,2.75,3.16,"8'3.5""","6'8.5""",27,32.1,4.4-11.5,0.381,1.7-5.4,0.317,4.1-4.7,0.866,6.0,2.3,0.2,0.6,1.9,2.0,14.5,27,36.0,4.9-12.9,0.381,1.9-6.0,0.317,4.6-5.3,0.866,6.7,2.5,0.2,0.6,2.1,2.2,16.3,0.529,0.455,0.468,0.41,0.373,25.6,0.51,1.22,16.1,0.083,0.051,0.134,112.5,107.1,2.6,0.8,3.4
Danny Wolf,Michigan,Junior,PF/C,"6'11.75""(7'2.25"" wingspan)",252 lbs,22nd|ATL,23rd,21.13 yrs,"May 4, 2004",USA,"Glencoe, IL",Northfield Mount HermonNorthfield Mount Hermon,,"AST%/Usage (4 pluses), Assists (4 pluses), Def. BPM (2 pluses), Def. Rebounds (2 pluses), AST/TO (1 pluses), Rebounds (1 pluses), Fouls (1 pluses)","Turnovers (4 minuses), Off. Win Shares (3 minuses), FT% (2 minuses), Off. Rating (2 minuses), PER (2 minuses), Win Shares (2 minuses), Steals (1 minuses), Points (1 minuses), FTA Rate (1 minuses), TS% (1 minuses), Wingspan Ratio (1 minuses), Draft Age (1 minuses)","30.0""",11.26,2.91,3.51,"9'1""","7'2.25""",37,30.5,5.0-10.1,0.497,1.0-3.1,0.336,2.1-3.6,0.594,9.7,3.6,1.4,0.7,3.2,2.1,13.2,37,36.0,5.9-11.9,0.497,1.2-3.6,0.336,2.5-4.2,0.594,11.5,4.2,1.6,0.8,3.8,2.4,15.6,0.559,0.548,0.302,0.356,0.324,24.2,0.94,1.1,19.4,0.053,0.089,0.145,105.7,96.1,4.3,5.2,9.5
